region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
PORO,163,"BORON, DIKODOUGOU ET GUIEMBE, COMMUNES ET SOUS-PREFECTURES",103,28727,13999,48.73,246,13753,363,2.64
PORO,164,"BOUGOU, KATOGO ET M'BENGUE, COMMUNES ET SOUS-PREFECTURES",102,32495,20095,61.84,218,19877,640,3.22
PORO,165,"KATIALI ET NIOFOIN, COMMUNES ET SOUS-PREFECTURES",61,16977,11753,69.23,267,11486,225,1.96
PORO,166,"DASSOUNGBOHO ET TIORONIARADOUGOU, COMMUNES ET SOUS-PREFECTURES",44,14548,7943,54.6,153,7790,179,2.3
PORO,167,"KARAKORO ET KOMBORODOUGOU, COMMUNES ET SOUS-PREFECTURES",76,19557,11288,57.72,151,11137,118,1.06
PORO,168,"KANOROBA, NAFOUN ET SIRASSO, COMMUNES ET SOUS-PREFECTURES",66,21203,12611,59.48,205,12406,337,2.72
PORO,169,"KIEMOU ET NAPIE, COMMUNES ET SOUS-PREFECTURES",73,21396,9378,43.83,135,9243,168,1.82
PORO,170,"KOMBOLOKOURA, KONI ET LATAHA, COMMUNES ET SOUS-PREFECTURES, KORHOGO SOUS-PREFECTURE",106,34511,32994,95.6,12,32982,1,0.0
PORO,171,"KORHOGO, VILLE",371,149223,142250,95.33,258,141992,108,0.08
PORO,172,"KAGBOLODOUGOU, SEDIOGO ET SINEMATIALI, COMMUNES ET SOUS-PREFECTURES",93,30231,29595,97.9,68,29527,13,0.04
SAN-PEDRO,173,"DOBA ET GABIADJI, COMMUNES ET SOUS-PREFECTURES, SAN PEDRO, SOUS-PREFECTURE",166,46381,11310,24.38,498,10812,130,1.2
SAN-PEDRO,174,"DOGBO ET GRAND-BEREBY, COMMUNES ET SOUS-PREFECTURES",102,28569,7631,26.71,191,7440,49,0.66
